playername,position
Gardner Minshew,QB
Jalen Hurts,QB
Joe Burrow,QB
Justin Herbert,QB
P.J. Walker,QB
Tua Tagovailoa,QB
Tyler Huntley,QB
Jordan Love,QB
Justin Fields,QB
Mac Jones,QB
Mike White,QB
Trevor Lawrence,QB
Zach Wilson,QB
Bailey Zappe,QB
Brock Purdy,QB
Desmond Ridder,QB
Kenny Pickett,QB
Malik Willis,QB
Sam Howell,QB
Aidan O'Connell,QB
Anthony Richardson,QB
Bryce Young,QB
C.J. Stroud,QB
Clayton Tune,QB
Dorian Thompson-Robinson,QB
Jake Browning,QB
Malik Cunningham,QB
Sean Clifford,QB
Tyson Bagent,QB
